prompt,response
"that 's a crime , you 'll learn sexual advance this is going to intimidate me ?","wa credible , to prosecute witness tampering charge , huh ?"
"wa credible , to prosecute witness tampering charge , huh ?",law school U.S. Attorney in New York ?
law school U.S. Attorney in New York ?,he might even be interested at his wedding .
he might even be interested at his wedding .,"- No , you were n't ."
"- No , you were n't .",some picture ...
some picture ...,Here we are .
Here we are .,I look very dashing .
I look very dashing .,at his bachelor party .
at his bachelor party .,It wa lame .
It wa lame .,"away for sexual harassment now , can he ?"
"away for sexual harassment now , can he ?",What do you want ?
What do you want ?,and a guarantee before working again .
and a guarantee before working again .,with back pay .
with back pay .,- And a raise .
- And a raise .,All right .
All right .,"to grow up without the burden his head , do n't you think ?"
"to grow up without the burden his head , do n't you think ?",you 're also gon na pay Nancy to Joanna 's house ?
you 're also gon na pay Nancy to Joanna 's house ?,because you care .
because you care .,You care about me .
You care about me .,for work this morning .
for work this morning .,I wa thinking of a funny joke .
I wa thinking of a funny joke .,we start on this tomorrow .
we start on this tomorrow .,we 're officially a team now ?
we 're officially a team now ?,into Wayne Manor just yet .
into Wayne Manor just yet .,- Closer to him than Clemenza .
- Closer to him than Clemenza .,- Clooney .
- Clooney .,when you first started ?
when you first started ?,I 'm not a wuss .
I 'm not a wuss .,"00:00:0,500 -- > 00:00:2 ,"
"00:00:0,500 -- > 00:00:2 ,",The End
