input,response
- Wow. You're pretty.,- Good. You've hit on me.
- Good. You've hit on me.,We can get it out of the way
We can get it out of the way,that I am not interested.
that I am not interested.,"No, I'm sorry."
"No, I'm sorry.",I wasn't hitting on you.
I wasn't hitting on you.,Trust me.
Trust me.,"I've given dozens of these,"
"I've given dozens of these,","and without fail,"
"and without fail,",whatever new hotshot it is
whatever new hotshot it is,"thinks that,"
"thinks that,","because I'm just a paralegal,"
"because I'm just a paralegal,",that I will
that I will,somehow be blown away
somehow be blown away,by his dazzling degree.
by his dazzling degree.,"Let me assure you,"
"Let me assure you,",I won't.
I won't.,I was.
I was.,I was hitting on you.
I was hitting on you.,You were.
You were.,Take notes.
Take notes.,I'm not gonna repeat myself.
I'm not gonna repeat myself.,I love you.
I love you.,The firm operates
The firm operates,on a chain of command model.
on a chain of command model.,Harvey's
Harvey's,your commanding officer.
your commanding officer.,"However, Louis Litt,"
"However, Louis Litt,","he oversees all associates,"
"he oversees all associates,",so you'll also answer
so you'll also answer,to him.
to him.,What do you think
What do you think,about Harvey?
about Harvey?,People are in awe of him.
People are in awe of him.,They say he's the best closer
They say he's the best closer,"there is,"
"there is,",but I have very little contact
but I have very little contact,"with him,"
"with him,",so I don't know.
so I don't know.,And what about Louis Litt?
And what about Louis Litt?,Let's continue
Let's continue,with your tour.
with your tour.,"Hey, Becky."
"Hey, Becky.",You are glowing.
You are glowing.,I wonder why that is.
I wonder why that is.,"Oh, yeah."
"Oh, yeah.",It's the day
It's the day,they announce my promotion.
they announce my promotion.,"Jimmy, have you lost weight?"
"Jimmy, have you lost weight?",Steve-O.
Steve-O.,Looking like a guy
Looking like a guy,who came to work.
who came to work.,"Excuse me,"
"Excuse me,",why are you scratching off
why are you scratching off,the senior off my door?
the senior off my door?,I got a work order
I got a work order,to take it off.
to take it off.,- Who issued the work order?
- Who issued the work order?,- My supervisor.
- My supervisor.,Why did he issue
Why did he issue,the work order?
the work order?,"If I knew that,"
"If I knew that,",I'd be his supervisor.
I'd be his supervisor.,You seem
You seem,to be enjoying yourself.
to be enjoying yourself.,I haven't enjoyed myself
I haven't enjoyed myself,since 2004.
since 2004.,Donna!
Donna!,Someone's trying to have
Someone's trying to have,a little fun with me here.
a little fun with me here.,Jessica wants to see you
Jessica wants to see you,in her office.
in her office.,Now.
Now.,"And finally,"
"And finally,",this is where you'll live.
this is where you'll live.,[Laughs]
[Laughs],Wow.
Wow.,I gave you that for a reason.
I gave you that for a reason.,You haven't taken one note.
You haven't taken one note.,- That's because--
- That's because--,- Because you were
- Because you were,too busy ogling me to listen
too busy ogling me to listen,to a word I've said?
to a word I've said?,Partners' offices
Partners' offices,anchor the wings.
anchor the wings.,"Fifth floor's research,"
"Fifth floor's research,",sixth is security.
sixth is security.,"All work gets billed,"
"All work gets billed,",even if it's finding an address.
even if it's finding an address.,I answer to Harvey
I answer to Harvey,"and Louis Litt,"
"and Louis Litt,","and, judging by the way"
"and, judging by the way","you responded to my questions,"
"you responded to my questions,",I should admire Harvey
I should admire Harvey,and I should fear Louis.
and I should fear Louis.,You have been here
You have been here,"for five years,"
"for five years,",and just because I outrank you
and just because I outrank you,does not mean
does not mean,I have the authority
I have the authority,to command your services.
to command your services.,"Oh, it's also pretty clear"
"Oh, it's also pretty clear",that you think
that you think,you're too smart
you're too smart,to be a paralegal.
to be a paralegal.,You know what nobody likes?
You know what nobody likes?,Nobody likes a showoff.
Nobody likes a showoff.,"You used the word ""ogling."""
"You used the word ""ogling.""",When do I get
When do I get,to see Harvey?
to see Harvey?,Gerald Tate
Gerald Tate,fired the firm.
fired the firm.,So you're taking
So you're taking,my promotion away.
my promotion away.,"You know, most firms would put"
"You know, most firms would put",you in front of the bar
you in front of the bar,and have your license stripped.
and have your license stripped.,"You lied to a client,"
"You lied to a client,",and he figured it out.
and he figured it out.,I lied to him to get him
I lied to him to get him,to do the right thing
to do the right thing,and honor his goddamn contract.
and honor his goddamn contract.,And you didn't seem
And you didn't seem,to mind so much
to mind so much,when you thought
when you thought,I got away with it.
I got away with it.,But you didn't get away
But you didn't get away,with it.
with it.,And I can't justify handing you
And I can't justify handing you,a promotion
a promotion,on the same day that you lose
on the same day that you lose,a huge client.
a huge client.,One client
One client,doesn't make a firm.
doesn't make a firm.,I don't know
I don't know,"if you've noticed,"
"if you've noticed,",but we're in the middle
but we're in the middle,of an economic meltdown.
of an economic meltdown.,Companies
Companies,aren't exactly lining up
aren't exactly lining up,to spend money
to spend money,on attorneys right now.
on attorneys right now.,"And, you know, Gerald might"
"And, you know, Gerald might",have forgiven the lying
have forgiven the lying,had you not humiliated him.
had you not humiliated him.,"But you did,"
"But you did,",and you need to accept that.
and you need to accept that.,"Jessica, if you hadn't done"
"Jessica, if you hadn't done","as much for me as you have,"
"as much for me as you have,",I'd be heading
I'd be heading,for the door.
for the door.,If I hadn't done as much
If I hadn't done as much,"for you as I have,"
"for you as I have,",I'd be throwing you
I'd be throwing you,out the window.
out the window.,"But, Harvey,"
"But, Harvey,",no more shenanigans.
no more shenanigans.,You do one more thing
You do one more thing,"that isn't straight as an arrow,"
"that isn't straight as an arrow,",and instead
and instead,"of covering your ass,"
"of covering your ass,",I will put you
I will put you,in front of the bar myself.
in front of the bar myself.,- Mike.
- Mike.,- Hey.
- Hey.,Who's ready
Who's ready,for a great first day?
for a great first day?,I'm gonna have
I'm gonna have,to let you go.
to let you go.,- What?
- What?,- I just got reamed
- I just got reamed,"for lying to a client,"
"for lying to a client,",and if they find out
and if they find out,that I lied about you
that I lied about you,"going to Harvard,"
"going to Harvard,",they'll take away my license.
they'll take away my license.,[Beep]
[Beep],[Over intercom] You what?
[Over intercom] You what?,"Not now, Donna."
"Not now, Donna.","Look, I have to put"
"Look, I have to put",my own interests
my own interests,above yours.
above yours.,It's nothing personal.
It's nothing personal.,You're fired.
You're fired.,"Wait, so you're worried"
"Wait, so you're worried","that if I stay,"
"that if I stay,",then they might find out
then they might find out,that you lied about me
that you lied about me,and you'll lose your license.
and you'll lose your license.,"But if you fire me,"
"But if you fire me,",then I could tell them
then I could tell them,"that you lied about me,"
"that you lied about me,",and you'd definitely lose
and you'd definitely lose,your license.
your license.,Are you telling me that
Are you telling me that,"if I throw you under the bus,"
"if I throw you under the bus,",you're gonna drag me
you're gonna drag me,with you?
with you?,You put your interests
You put your interests,"above mine,"
"above mine,",and I'm just putting mine
and I'm just putting mine,back up next to yours.
back up next to yours.,You're rehired.
You're rehired.,So should I--
So should I--,all right.
all right.,Here's what's gonna happen.
Here's what's gonna happen.,You're gonna give me back
You're gonna give me back,"my promotion,"
"my promotion,",and that's the last
and that's the last,we're gonna talk about this.
we're gonna talk about this.,And why is that?
And why is that?,"Because if you don't,"
"Because if you don't,",I'm gonna go across town
I'm gonna go across town,and join Rick Peterson.
and join Rick Peterson.,I'm gonna approach every client
I'm gonna approach every client,"I've ever closed,"
"I've ever closed,",and I'm gonna
and I'm gonna,take them with me.
take them with me.,"You do that,"
"You do that,",and you'll force me
and you'll force me,to put you in front
to put you in front,of the ethics board.
of the ethics board.,- I don't think you will.
- I don't think you will.,- And why not?
- And why not?,Because you were obligated
Because you were obligated,to notify them
to notify them,"the second I lied to Gerald,"
"the second I lied to Gerald,",but you didn't.
but you didn't.,You put me in front
You put me in front,"of the board right now,"
"of the board right now,",I'll put you right up there
I'll put you right up there,with me.
with me.,Hmm.
Hmm.,I'll...I'll give you
I'll...I'll give you,your promotion.
your promotion.,But you have to do something
But you have to do something,for me.
for me.,Anything.
Anything.,Ah.
Ah.,Pro bono.
Pro bono.,Anything but that.
Anything but that.,"Harvey, pro bono cases"
"Harvey, pro bono cases","are how we, as a firm,"
"are how we, as a firm,",show that we care
show that we care,about more
about more,than just ourselves.
than just ourselves.,I'm not saying
I'm not saying,we shouldn't do them.
we shouldn't do them.,I'm saying
I'm saying,I shouldn't do them.
I shouldn't do them.,And it's how you can show me
And it's how you can show me,that you care about more
that you care about more,than just yourself.
than just yourself.,You'll handle this yourself.
You'll handle this yourself.,You will not pass it off.
You will not pass it off.,Absolutely.
Absolutely.,Your first case.
Your first case.,Awesome.
Awesome.,What is it?
What is it?,Pro bono.
Pro bono.,Sexual harassment.
Sexual harassment.,Don't tell anyone
Don't tell anyone,"I laid it off on you,"
"I laid it off on you,",and don't screw it up.
and don't screw it up.,Got it.
Got it.,You can't handle it.
You can't handle it.,I'll knock it out of the park.
I'll knock it out of the park.,"Easy, Clarence Thomas."
"Easy, Clarence Thomas.",Just go meet the client.
Just go meet the client.,Hey. Didn't I tell you
Hey. Didn't I tell you,to get some better suits?
to get some better suits?,I spent $500.
I spent $500.,For how many suits?
For how many suits?,Five.
Five.,What?
What?,Nancy?
Nancy?,- Mike?
- Mike?,"- Yeah, hi."
"- Yeah, hi.",You're a kid.
You're a kid.,"No, I'm a--"
"No, I'm a--",I'm a grown man.
I'm a grown man.,You're so skinny.
You're so skinny.,Have a grape.
Have a grape.,Thank you.
Thank you.,Why don't you tell me
Why don't you tell me,your story?
your story?,It started two years ago.
It started two years ago.,I was a stay-at-home mom
I was a stay-at-home mom,"to my son, Freddie."
"to my son, Freddie.",And one day
And one day,"we were at little league,"
"we were at little league,",Freddie was five.
Freddie was five.,He really hated
He really hated,that he couldn't play
that he couldn't play,with the older kids.
with the older kids.,"It was the third inning,"
"It was the third inning,",and I got a phone call.
and I got a phone call.,My husband had been
My husband had been,"in a car accident,"
"in a car accident,","and he was gone,"
"and he was gone,",just like that.
just like that.,I'm so sorry.
I'm so sorry.,I did the best I could.
I did the best I could.,I got myself a job
I got myself a job,as a secretary
as a secretary,at Devlin McGreggor.
at Devlin McGreggor.,And I even got promoted
And I even got promoted,"to secretary of the president,"
"to secretary of the president,",Charles Hunt.
Charles Hunt.,And that's
And that's,when it all changed.
when it all changed.,It's okay.
It's okay.,Tell me what happened.
Tell me what happened.,He started asking me
He started asking me,"to stay late,"
"to stay late,","order in dinners together,"
"order in dinners together,",stuff like that.
stuff like that.,"One night, he says"
"One night, he says","that if I sleep with him,"
"that if I sleep with him,",he's gonna take care of me
he's gonna take care of me,"in the firm,"
"in the firm,","and, if I don't,"
"and, if I don't,",he's gonna fire me.
he's gonna fire me.,So what did you do?
So what did you do?,I went to Human Resources.
I went to Human Resources.,"They said they investigated,"
"They said they investigated,",couldn't find anything
couldn't find anything,to support my claim.
to support my claim.,"Two months later,"
"Two months later,",I was fired
I was fired,for poor job performance.
for poor job performance.,They wouldn't let me
They wouldn't let me,say good-bye to anybody.
say good-bye to anybody.,They wouldn't write me
They wouldn't write me,a letter of recommendation.
a letter of recommendation.,I wasn't looking
I wasn't looking,for a payoff.
for a payoff.,All I wanted
All I wanted,was for it to stop.
was for it to stop.,Can you help me?
Can you help me?,"Uh, yes."
"Uh, yes.","Yes, I can."
"Yes, I can.",What do you need
What do you need,my help for?
my help for?,"- Wait, can I just--"
"- Wait, can I just--","- No, give me the update."
"- No, give me the update.","You know,"
"You know,",she's a nice woman.
she's a nice woman.,She--
She--,- On the case.
- On the case.,I don't get
I don't get,emotionally attached
emotionally attached,to the client.
to the client.,This woman had
This woman had,her life ripped apart.
her life ripped apart.,You don't even care?
You don't even care?,I'm not about caring.
I'm not about caring.,I'm about winning.
I'm about winning.,Why can't you be
Why can't you be,about both?
about both?,"I'd explain it to you,"
"I'd explain it to you,",but then I'd have
but then I'd have,to care about you.
to care about you.,What are you doing?
What are you doing?,Don't touch that.
Don't touch that.,I'm just checking my lock.
I'm just checking my lock.,You ride your bike to...
You ride your bike to...,"It's locked, okay?"
"It's locked, okay?",Come on.
Come on.,Defense sent over
Defense sent over,the investigation files
the investigation files,as a courtesy.
as a courtesy.,"No, they didn't."
"No, they didn't.",Nobody does anything
Nobody does anything,as a courtesy.
as a courtesy.,They sent those files
They sent those files,because that's
because that's,where they want you to look.
where they want you to look.,"Listen, being a lawyer's"
"Listen, being a lawyer's",like being a doctor.
like being a doctor.,You mean how you don't get
You mean how you don't get,emotional about the client?
emotional about the client?,"No, I mean you keep pressing"
"No, I mean you keep pressing",until it hurts.
until it hurts.,Then you know
Then you know,where to look.
where to look.,Forget about impeaching
Forget about impeaching,the investigation.
the investigation.,It won't lead anywhere.
It won't lead anywhere.,No employee's gonna testify
No employee's gonna testify,against their own CEO.
against their own CEO.,Okay.
Okay.,So what do you suggest I do?
So what do you suggest I do?,Think.
Think.,This guy's done this once...
This guy's done this once...,He's done it before.
He's done it before.,And if the people
And if the people,who work for him now
who work for him now,won't testify against him...
won't testify against him...,Someone who used
Someone who used,to work for him might.
to work for him might.,"You know what,"
"You know what,",I'd subpoena
I'd subpoena,the personnel records
the personnel records,of every woman
of every woman,who's left the firm
who's left the firm,during this guy's tenure.
during this guy's tenure.,That's funny.
That's funny.,That's exactly what I thought.
That's exactly what I thought.,Then what do you need
Then what do you need,my help for?
my help for?,I don't know
I don't know,how to fill out a subpoena.
how to fill out a subpoena.,Figure it out yourself.
Figure it out yourself.,"Donna, can you show me"
"Donna, can you show me",how to fill out a subpoena?
how to fill out a subpoena?,Absolutely.
Absolutely.,"And after that,"
"And after that,",you want me to show you
you want me to show you,how to wipe your ass?
how to wipe your ass?,"It's funny,"
"It's funny,",because you should already know
because you should already know,how to do both those things.
how to do both those things.,"Ha, yeah,"
"Ha, yeah,",that's hilarious.
that's hilarious.,What's that?
What's that?,That's my suit guy.
That's my suit guy.,"Go in, tell him I sent you,"
"Go in, tell him I sent you,",and spend some money.
and spend some money.,What does it matter
What does it matter,how much money I spend on suits?
how much money I spend on suits?,People respond
People respond,"to how we're dressed,"
"to how we're dressed,","so like it or not,"
"so like it or not,",this is what you have to do.
this is what you have to do.,"That's weird,"
"That's weird,",you giving me advice.
you giving me advice.,It sounds like you actually care
It sounds like you actually care,about me.
about me.,I don't.
I don't.,"You're a reflection of me,"
"You're a reflection of me,",and I absolutely
and I absolutely,care about me.
care about me.,So get your skinny tie
So get your skinny tie,out of my face and get to work.
out of my face and get to work.,That was a little harsh.
That was a little harsh.,Really?
Really?,Yeah.
Yeah.,Mike.
Mike.,Where are you going?
Where are you going?,It's 6:30.
It's 6:30.,I'm going home.
I'm going home.,[Laughs]
[Laughs],Okay.
Okay.,What's so funny?
What's so funny?,You're a rookie associate.
You're a rookie associate.,If you go home before 9:00
If you go home before 9:00,"on your first week,"
"on your first week,",you're not gonna make it
you're not gonna make it,through your first month.
through your first month.,And Louis Litt
And Louis Litt,wants to see you.
wants to see you.,"- Hey, can I ask you something?"
"- Hey, can I ask you something?",- Mm-hmm.
- Mm-hmm.,"This tie,"
"This tie,",is it too skinny?
is it too skinny?,Yeah.
Yeah.,Right.
Right.,Yeah.
Yeah.,I know you had orientation
I know you had orientation,"from Rachel,"
"from Rachel,",but I wanted to give you
but I wanted to give you,a special welcome from me.
a special welcome from me.,"Amongst other things,"
"Amongst other things,",I'm sort of the disciplinarian
I'm sort of the disciplinarian,of the associates.
of the associates.,[Tap on glass]
[Tap on glass],- You wanted to see me?
- You wanted to see me?,- Yes.
- Yes.,"Gary, please come in."
"Gary, please come in.","Mike, this is Gary Lipsky."
"Mike, this is Gary Lipsky.",Gary's one of our most promising
Gary's one of our most promising,associates from last year.
associates from last year.,Hi.
Hi.,"Gary, Ms. Pearson"
"Gary, Ms. Pearson","wanted me to ask,"
"wanted me to ask,",have you completed
have you completed,the Petramco filing?
the Petramco filing?,"Well, my brother was in"
"Well, my brother was in","over the weekend,"
"over the weekend,",so I didn't really get
so I didn't really get,to it.
to it.,"Look, I mean,"
"Look, I mean,","Gary, come on."
"Gary, come on.","This is, like, the third time"
"This is, like, the third time",I've had to ask.
I've had to ask.,I'll get right on it.
I'll get right on it.,Don't bother.
Don't bother.,You're fired.
You're fired.,What?
What?,You can't fire me.
You can't fire me.,"Oh, yes, I can."
"Oh, yes, I can.",And I just did.
And I just did.,Go pack up your things.
Go pack up your things.,Don't you ever show your face
Don't you ever show your face,in this place again.
in this place again.,"See, I arranged"
"See, I arranged",for you to see that
for you to see that,because we pay our associates
because we pay our associates,very well
very well,and we provide the opportunity
and we provide the opportunity,for unlimited advancement.
for unlimited advancement.,But in return
But in return,we expect results.
we expect results.,Have I made myself clear?
Have I made myself clear?,Yeah.
Yeah.,Great.
Great.,Welcome to Pearson Hardman.
Welcome to Pearson Hardman.,Feel free
Feel free,to go back to work.
to go back to work.,Harvey.
Harvey.,"Okay, I have two words"
"Okay, I have two words",for you.
for you.,Absolutely beautiful.
Absolutely beautiful.,You think you're the only one
You think you're the only one,who can charm a client?
who can charm a client?,Categorically stunning.
Categorically stunning.,How's the new kid
How's the new kid,working out?
working out?,Regally hot.
Regally hot.,- You're an idiot.
- You're an idiot.,- Jessica Pearson.
- Jessica Pearson.,"Good night, Harvey."
"Good night, Harvey.",[Sports announcer chatter]
[Sports announcer chatter],What are you doing here?
What are you doing here?,Watching <i>Sportscenter.</i>
Watching <i>Sportscenter.</i>,Boo-yah.
Boo-yah.,You won't return
You won't return,my phone calls.
my phone calls.,"Ah, yeah,"
"Ah, yeah,",because you set me up.
because you set me up.,Do you remember that?
Do you remember that?,You think I knew about that?
You think I knew about that?,Here we go.
Here we go.,Round 50 of I get the shaft
Round 50 of I get the shaft,because you didn't know
because you didn't know,the whole story.
the whole story.,You knew there were risks
You knew there were risks,when you quoted that crap
when you quoted that crap,from that book.
from that book.,"Okay, you needed money,"
"Okay, you needed money,",and I came through
and I came through,with an opportunity
with an opportunity,like always.
like always.,"Besides, you weren't"
"Besides, you weren't",the only one who got screwed.
the only one who got screwed.,They pulled a gun on me.
They pulled a gun on me.,"Oh, really?"
"Oh, really?",And why did they do that?
And why did they do that?,To keep me from warning you.
To keep me from warning you.,So you did know.
So you did know.,"Well, not until"
"Well, not until",after it was too late.
after it was too late.,"Well, it's too late now."
"Well, it's too late now.","Look, let me"
"Look, let me",make it up to you.
make it up to you.,"Oh, you want"
"Oh, you want",to make it up to me?
to make it up to me?,Give me my key back.
Give me my key back.,Michael.
Michael.,Come on.
Come on.,You know I don't want
You know I don't want,to live in a world
to live in a world,where we're not tight.
where we're not tight.,Then kill yourself.
Then kill yourself.,Get out.
Get out.,Get the hell out.
Get the hell out.,"Donna, I need the--"
"Donna, I need the--","oh, also I didn't have"
"oh, also I didn't have",a chance to--
a chance to--,marry me?
marry me?,- I took care of that too.
- I took care of that too.,We've been married
We've been married,for the last seven years.
for the last seven years.,Excellent.
Excellent.,"Umm, Devlin McGreggor's"
"Umm, Devlin McGreggor's",fighting the subpoena.
fighting the subpoena.,They filed a motion
They filed a motion,to dismiss the case
to dismiss the case,based on our
based on our,lack of evidence.
lack of evidence.,- Good.
- Good.,- Good.
- Good.,"Wait, what do you mean,"
"Wait, what do you mean,","""good""?"
"""good""?",They don't want
They don't want,to hand over the files.
to hand over the files.,You pressed where it hurt.
You pressed where it hurt.,You're looking
You're looking,in the right place.
in the right place.,Did you think
Did you think,they wouldn't fight back?
they wouldn't fight back?,"Well, I--"
"Well, I--",now that you mention it.
now that you mention it.,"Oh, my bad."
"Oh, my bad.",I keep forgetting
I keep forgetting,you don't
you don't,actually know anything.
actually know anything.,- [Mock laughs]
- [Mock laughs],"- The idea is,"
"- The idea is,","you make a move,"
"you make a move,",they make a move.
they make a move.,You go back and forth
You go back and forth,until one of you wins.
until one of you wins.,"Okay, what if they win"
"Okay, what if they win",the motion
the motion,and the case
and the case,gets dismissed?
gets dismissed?,You're not as good
You're not as good,as you think you are.
as you think you are.,Harvey.
Harvey.,What a coincidence.
What a coincidence.,I was wondering
I was wondering,how the pro bono was coming.
how the pro bono was coming.,I'm all over it.
I'm all over it.,"That makes me very happy,"
"That makes me very happy,",because if I were
because if I were,to find out
to find out,that you weren't putting in
that you weren't putting in,"your full effort,"
"your full effort,",I'd be very upset.
I'd be very upset.,No worries.
No worries.,We're all good.
We're all good.,"Rachel! Rachel, Rachel,"
"Rachel! Rachel, Rachel,",Rachel. I need your help.
Rachel. I need your help.,There's a hearing
There's a hearing,on my subpoena.
on my subpoena.,I've got three cases
I've got three cases,"in front of you,"
"in front of you,",so you're gonna have
so you're gonna have,to wait in line.
to wait in line.,"No. No, no, no."
"No. No, no, no.",My hearing is tomorrow.
My hearing is tomorrow.,So why are you
So why are you,coming to me?
coming to me?,Because Donna says
Because Donna says,you're the best researcher
you're the best researcher,in the firm.
in the firm.,Let me see the motion.
Let me see the motion.,"Whoa, whoa, whoa, whoa, whoa."
"Whoa, whoa, whoa, whoa, whoa.",You have an office?
You have an office?,How do you have an office
How do you have an office,and I have a cubicle?
and I have a cubicle?,"Like you said,"
"Like you said,",I'm the best researcher
I'm the best researcher,in the firm.
in the firm.,Really?
Really?,I just made that up.
I just made that up.,I didn't even have time
I didn't even have time,to talk to Donna.
to talk to Donna.,Is this all a joke
Is this all a joke,to you?
to you?,'Cause I take my job seriously.
'Cause I take my job seriously.,"No, I'm sorry."
"No, I'm sorry.","Look, I was--"
"Look, I was--","look, you weren't there,"
"look, you weren't there,",okay.
okay.,I care about this woman.
I care about this woman.,She's got
She's got,nowhere else to turn--
nowhere else to turn--,And you can't help her
And you can't help her,by yourself.
by yourself.,I can.
I can.,I just prefer not to.
I just prefer not to.,Okay.
Okay.,You're asking to look
You're asking to look,at private files
at private files,without any evidence
without any evidence,of your assertion.
of your assertion.,"Yeah, but the only way"
"Yeah, but the only way",that we can find
that we can find,the evidence is to look
the evidence is to look,at those files.
at those files.,It's a rickety argument.
It's a rickety argument.,But is there a precedent?
But is there a precedent?,Let's go see
Let's go see,if we can find one.
if we can find one.,Research is as much art
Research is as much art,"as science,"
"as science,",so we're gonna look
so we're gonna look,at privacy and harassment law
at privacy and harassment law,so you can find a combination
so you can find a combination,of cases
of cases,to make an argument.
to make an argument.,I'll take privacy.
I'll take privacy.,I'll take harassment law.
I'll take harassment law.,This'll take a while.
This'll take a while.,We're gonna need dinner.
We're gonna need dinner.,- Chinese.
- Chinese.,- No.
- No.,I can afford Chinese
I can afford Chinese,on my own.
on my own.,This is on the firm.
This is on the firm.,I want Sushi.
I want Sushi.,Ooh.
Ooh.,So they told me to put
So they told me to put,my top investigator on it.
my top investigator on it.,- What did you do?
- What did you do?,- What could I do?
- What could I do?,"You were out of the country,"
"You were out of the country,",I gave them Luderman.
I gave them Luderman.,[Laughs]
[Laughs],"By the way,"
"By the way,",that dress...
that dress...,"What, this old thing?"
"What, this old thing?",Come on.
Come on.,Beautiful.
Beautiful.,"Vanessa, why don't we do this"
"Vanessa, why don't we do this",more often?
more often?,'Cause it always ends
'Cause it always ends,the same way.
the same way.,Then why are we
Then why are we,doing it now?
doing it now?,"Harvey,"
"Harvey,",I don't sleep around.
I don't sleep around.,And I could never be
And I could never be,in a relationship with you.
in a relationship with you.,All you ever think about
All you ever think about,is yourself.
is yourself.,I'm thinking about you and me
I'm thinking about you and me,right now.
right now.,Please.
Please.,I insist.
I insist.,But I'm a gentleman.
But I'm a gentleman.,"Besides, you came through"
"Besides, you came through","on Dockery for me,"
"on Dockery for me,",and I'm not one
and I'm not one,to forget a favor.
to forget a favor.,Neither am I.
Neither am I.,"Mr. Dockery,"
"Mr. Dockery,","you naughty, naughty boy."
"you naughty, naughty boy.",[Laughter]
[Laughter],You remember when I said
You remember when I said,you thought you were too smart
you thought you were too smart,to be a paralegal?
to be a paralegal?,- Mm-hmm.
- Mm-hmm.,- Why...
- Why...,- Aren't I a lawyer?
- Aren't I a lawyer?,Mm.
Mm.,I don't test well.
I don't test well.,What?
What?,I am smart.
I am smart.,And I know
And I know,I'd be a good lawyer.
I'd be a good lawyer.,I just--I don't know
I just--I don't know,what it is.
what it is.,"I can't take tests,"
"I can't take tests,",and I bombed the LSATs.
and I bombed the LSATs.,And even if I could get
And even if I could get,"into law school,"
"into law school,",there's no way
there's no way,I'd pass the bar.
I'd pass the bar.,So if only there was someone
So if only there was someone,who could take the test for me.
who could take the test for me.,"- Yeah, if only there were."
"- Yeah, if only there were.",- Yeah.
- Yeah.,Hi. Where are you at
Hi. Where are you at,with the research
with the research,for tomorrow's hearing?
for tomorrow's hearing?,Nothing yet.
Nothing yet.,You say you care
You say you care,"about the client,"
"about the client,",but if you keep playing footsie
but if you keep playing footsie,instead of finding me
instead of finding me,"an argument,"
"an argument,",the client's gonna lose.
the client's gonna lose.,I don't want to lose.
I don't want to lose.,Ugh.
Ugh.,"Look, it's no use."
"Look, it's no use.","Okay, their investigation's"
"Okay, their investigation's",by the book.
by the book.,We look like the bad guys
We look like the bad guys,"coming in,"
"coming in,",putting them under duress.
putting them under duress.,What did you just say?
What did you just say?,I said we look
I said we look,like the bad guys.
like the bad guys.,"No, you said"
"No, you said",they did it by the book
they did it by the book,and we're putting them
and we're putting them,under duress.
under duress.,Yeah.
Yeah.,- Look.
- Look.,- Hmm.
- Hmm.,This is good.
This is good.,We're gonna have some fun.
We're gonna have some fun.,We?
We?,I get to go?
I get to go?,You didn't think
You didn't think,I'd let you come along?
I'd let you come along?,- No.
- No.,- Good instinct. I wasn't.
- Good instinct. I wasn't.,But then I thought
But then I thought,it'd be cruel
it'd be cruel,not to let you witness
not to let you witness,my greatness.
my greatness.,"- Okay, can I go get my bag?"
"- Okay, can I go get my bag?",- No.
- No.,- You're a true giver.
- You're a true giver.,- Other side.
- Other side.,Okay.
Okay.,"Your honor, this case"
"Your honor, this case",should be thrown out.
should be thrown out.,"Other than her story,"
"Other than her story,",the plaintiff doesn't have
the plaintiff doesn't have,one piece of evidence.
one piece of evidence.,Because the evidence lies
Because the evidence lies,"within their personnel files,"
"within their personnel files,",which they're conveniently
which they're conveniently,refusing to hand over.
refusing to hand over.,Those files contain
Those files contain,sensitive information.
sensitive information.,He's fishing at the expense
He's fishing at the expense,of our employees' right
of our employees' right,to privacy.
to privacy.,Please.
Please.,They don't give a rat's ass
They don't give a rat's ass,about his employees' right
about his employees' right,to privacy.
to privacy.,"Sorry, that's actually unfair"
"Sorry, that's actually unfair",to rats' asses.
to rats' asses.,"Your honor, Mr. Specter's"
"Your honor, Mr. Specter's",claim that we don't care
claim that we don't care,"about our employees,"
"about our employees,","though belittling,"
"though belittling,",doesn't carry any weight
doesn't carry any weight,as a rule of law.
as a rule of law.,"True, but what does carry"
"True, but what does carry",weight is that an investigation
weight is that an investigation,of sexual harassment
of sexual harassment,must be conducted
must be conducted,without any duress.
without any duress.,Your point?
Your point?,The investigator
The investigator,and every person
and every person,being interviewed
being interviewed,answers to the CEO
answers to the CEO,they're investigating.
they're investigating.,That is the definition
That is the definition,of duress.
of duress.,It'd be as if your bailiff
It'd be as if your bailiff,accused you of sexual harassment
accused you of sexual harassment,and you assigned
and you assigned,your stenographer
your stenographer,to investigate.
to investigate.,Now how likely would it be
Now how likely would it be,that this investigation
that this investigation,yielded any fruit?
yielded any fruit?,You honestly think
You honestly think,I would harass Herman?
I would harass Herman?,"Well, I don't know,"
"Well, I don't know,",your honor.
your honor.,Some people have a thing
Some people have a thing,for the uniform.
for the uniform.,Ugh. I'd like to think
Ugh. I'd like to think,Herman would come to me
Herman would come to me,before it even got
before it even got,to an investigation.
to an investigation.,I saw that.
I saw that.,That should be stricken.
That should be stricken.,But what if Herman did come
But what if Herman did come,"to you, your honor?"
"to you, your honor?",And you betrayed his trust
And you betrayed his trust,by firing him
by firing him,under false pretenses?
under false pretenses?,You really think
You really think,that little of me?
that little of me?,I wouldn't trust you
I wouldn't trust you,as far as I could throw you.
as far as I could throw you.,Your honor.
Your honor.,Hand over the files...
Hand over the files...,- Oh--
- Oh--,- Today.
- Today.,That's it.
That's it.,"Herman, I'd like to speak"
"Herman, I'd like to speak",to you in chambers.
to you in chambers.,That was awesome.
That was awesome.,It was your argument.
It was your argument.,I just framed it in a way
I just framed it in a way,that humanized the situation
that humanized the situation,and brightened
and brightened,all of our afternoons.
all of our afternoons.,I feel like Michael Corleone
